"DateTime","Number of sales","Sales USD"
"2017-11-29 00:00:00",5385,29706.06
"2017-11-30 00:00:00",8173,23812.56
"2017-12-01 00:00:00",7833,35961.42
"2017-12-02 00:00:00",13066,263614.44
"2017-12-03 00:00:00",28773,1041195.72
"2017-12-04 00:00:00",38862,2437263.56
"2017-12-05 00:00:00",41907,2326938.72
"2017-12-06 00:00:00",32921,1931152.8
"2017-12-07 00:00:00",37690,1773679.09
"2017-12-08 00:00:00",44990,2129154.72
"2017-12-09 00:00:00",50530,1847526.2
"2017-12-10 00:00:00",52457,1406415.76
"2017-12-11 00:00:00",47031,1141288.35
"2017-12-12 00:00:00",38001,841499.95
"2017-12-13 00:00:00",29646,633317.41
"2017-12-14 00:00:00",31329,614563.28
"2017-12-15 00:00:00",23011,457800.16
"2017-12-16 00:00:00",27267,1039473.99
"2017-12-17 00:00:00",21234,685084.81
"2017-12-18 00:00:00",19319,509909.41
"2017-12-19 00:00:00",14214,438460.84
"2017-12-20 00:00:00",20495,878293.55
"2017-12-21 00:00:00",15836,1113476.39
"2017-12-22 00:00:00",16417,1991108.18
"2017-12-23 00:00:00",14726,2204513.37
"2017-12-24 00:00:00",12749,1584311.71
"2017-12-25 00:00:00",9877,1896641.41
"2017-12-26 00:00:00",7912,995872.98
"2017-12-27 00:00:00",9152,650769.55
"2017-12-28 00:00:00",9977,404581.75
"2017-12-29 00:00:00",8463,339139.78
"2017-12-30 00:00:00",6623,150284.29
"2017-12-31 00:00:00",6961,187305.78
"2018-01-01 00:00:00",7417,140873.22
"2018-01-02 00:00:00",6658,211562.09
"2018-01-03 00:00:00",3767,135898.75
"2018-01-04 00:00:00",2604,59562.4
"2018-01-05 00:00:00",2076,43598.52
"2018-01-06 00:00:00",2879,84119.45
"2018-01-07 00:00:00",3160,64333.69
"2018-01-08 00:00:00",2550,59658.1
"2018-01-09 00:00:00",1812,57715.3
"2018-01-10 00:00:00",1366,53725.75
"2018-01-11 00:00:00",2082,53463.82
"2018-01-12 00:00:00",2526,64577.72
"2018-01-13 00:00:00",2500,62952.69
"2018-01-14 00:00:00",2796,82848.53
"2018-01-15 00:00:00",1837,50531.56
"2018-01-16 00:00:00",2042,56255.2
"2018-01-17 00:00:00",2297,46837.79
"2018-01-18 00:00:00",2730,52915.57
"2018-01-19 00:00:00",3136,78026.07
"2018-01-20 00:00:00",3222,157832.09
"2018-01-21 00:00:00",3099,65416.79
"2018-01-22 00:00:00",3048,46847.1
"2018-01-23 00:00:00",2892,47831.21
"2018-01-24 00:00:00",2655,47225.25
"2018-01-25 00:00:00",2271,37334.84
"2018-01-26 00:00:00",2785,50410.34
"2018-01-27 00:00:00",3142,53022.45
"2018-01-28 00:00:00",2698,70402.79
"2018-01-29 00:00:00",2436,44858.63
"2018-01-30 00:00:00",3009,57771.68
"2018-01-31 00:00:00",2871,97704.46
"2018-02-01 00:00:00",2083,33732.24
"2018-02-02 00:00:00",2477,43181.16
"2018-02-03 00:00:00",2336,36170.47
"2018-02-04 00:00:00",2091,32263.87
"2018-02-05 00:00:00",2308,30063.49
"2018-02-06 00:00:00",3331,36023.1
"2018-02-07 00:00:00",2935,38182.96
"2018-02-08 00:00:00",2724,33957.19
"2018-02-09 00:00:00",2825,48685.58
"2018-02-10 00:00:00",2149,68483.92
"2018-02-11 00:00:00",3389,65422.61
"2018-02-12 00:00:00",3228,57612.67
"2018-02-13 00:00:00",3643,94365.84
"2018-02-14 00:00:00",5628,381022.46
"2018-02-15 00:00:00",6416,761197.38
"2018-02-16 00:00:00",5447,167727.03
"2018-02-17 00:00:00",4349,162811.45
"2018-02-18 00:00:00",4418,173499.71
"2018-02-19 00:00:00",4991,194596.1
"2018-02-20 00:00:00",4559,267421.28
"2018-02-21 00:00:00",4059,93311.66
"2018-02-22 00:00:00",3880,79326.76
"2018-02-23 00:00:00",4178,117641.21
"2018-02-24 00:00:00",8514,171112.83
"2018-02-25 00:00:00",9200,125039.04
"2018-02-26 00:00:00",6796,134007.23
